# freq,|S21|,Phase
1.000000000000000000e+07,9.929559999999999498e-01,1.423060000000000116e+02
1.015000000000000000e+07,9.925180000000000113e-01,1.417800000000000011e+02
1.030000000000000000e+07,9.905000000000000471e-01,1.412969999999999970e+02
1.045000000000000000e+07,9.902549999999999963e-01,1.407760000000000105e+02
1.060000000000000000e+07,9.908090000000000508e-01,1.402520000000000095e+02
1.075000000000000000e+07,9.902450000000000419e-01,1.396740000000000066e+02
1.090000000000000000e+07,9.912809999999999677e-01,1.392220000000000084e+02
1.105000000000000000e+07,9.906679999999999930e-01,1.386949999999999932e+02
1.120000000000000000e+07,9.904859999999999776e-01,1.381769999999999925e+02
1.135000000000000000e+07,9.896449999999999969e-01,1.376779999999999973e+02
1.150000000000000000e+07,9.897639999999999771e-01,1.372090000000000032e+02
1.165000000000000000e+07,9.901379999999999626e-01,1.366999999999999886e+02
1.180000000000000000e+07,9.901739999999999986e-01,1.362309999999999945e+02
1.195000000000000000e+07,9.900839999999999641e-01,1.356599999999999966e+02
1.210000000000000000e+07,9.911079999999999890e-01,1.352050000000000125e+02
1.225000000000000000e+07,9.905209999999999848e-01,1.346639999999999873e+02
1.240000000000000000e+07,9.905180000000000096e-01,1.342179999999999893e+02
1.255000000000000000e+07,9.908320000000000460e-01,1.336980000000000075e+02
1.270000000000000000e+07,9.901499999999999746e-01,1.331150000000000091e+02
1.285000000000000000e+07,9.902590000000000003e-01,1.326879999999999882e+02
1.300000000000000000e+07,9.901060000000000416e-01,1.322220000000000084e+02
1.315000000000000000e+07,9.907289999999999708e-01,1.316829999999999927e+02
1.330000000000000000e+07,9.916300000000000114e-01,1.311879999999999882e+02
1.345000000000000000e+07,9.904380000000000406e-01,1.307379999999999995e+02
1.360000000000000000e+07,9.905370000000000008e-01,1.302069999999999936e+02
1.375000000000000000e+07,9.893380000000000507e-01,1.297520000000000095e+02
1.390000000000000000e+07,9.902699999999999836e-01,1.292959999999999923e+02
1.405000000000000000e+07,9.904309999999999503e-01,1.288429999999999893e+02
1.420000000000000000e+07,9.901600000000000401e-01,1.283060000000000116e+02
1.435000000000000000e+07,9.908329999999999638e-01,1.278700000000000045e+02
1.450000000000000000e+07,9.906139999999999946e-01,1.273619999999999948e+02
1.465000000000000000e+07,9.893779999999999797e-01,1.269809999999999945e+02
1.480000000000000000e+07,9.891450000000000520e-01,1.264230000000000018e+02
1.495000000000000000e+07,9.898620000000000196e-01,1.259950000000000045e+02
1.510000000000000000e+07,9.888839999999999852e-01,1.255160000000000053e+02
1.525000000000000000e+07,9.896030000000000104e-01,1.249680000000000035e+02
1.540000000000000000e+07,9.883229999999999515e-01,1.245580000000000069e+02
1.555000000000000000e+07,9.885739999999999528e-01,1.240870000000000033e+02
1.570000000000000000e+07,9.887299999999999978e-01,1.237030000000000030e+02
1.585000000000000000e+07,9.898959999999999981e-01,1.231560000000000059e+02
1.600000000000000000e+07,9.878940000000000499e-01,1.227349999999999994e+02
1.615000000000000000e+07,9.879940000000000389e-01,1.221730000000000018e+02
1.630000000000000000e+07,9.880139999999999478e-01,1.217609999999999957e+02
1.645000000000000000e+07,9.880430000000000046e-01,1.213449999999999989e+02
1.660000000000000000e+07,9.891910000000000425e-01,1.209009999999999962e+02
1.675000000000000000e+07,9.882640000000000313e-01,1.204569999999999936e+02
1.690000000000000000e+07,9.880400000000000293e-01,1.200210000000000008e+02
1.705000000000000000e+07,9.870489999999999542e-01,1.195550000000000068e+02
1.720000000000000000e+07,9.881520000000000303e-01,1.191209999999999951e+02
1.735000000000000000e+07,9.882659999999999778e-01,1.186340000000000003e+02
1.750000000000000000e+07,9.892009999999999970e-01,1.181640000000000015e+02
1.765000000000000000e+07,9.877169999999999561e-01,1.177960000000000065e+02
1.780000000000000000e+07,9.884150000000000436e-01,1.173449999999999989e+02
1.795000000000000000e+07,9.886350000000000415e-01,1.169240000000000066e+02
1.810000000000000000e+07,9.871900000000000119e-01,1.164749999999999943e+02
1.825000000000000000e+07,9.876599999999999824e-01,1.160379999999999967e+02
1.840000000000000000e+07,9.881699999999999928e-01,1.156359999999999957e+02
1.855000000000000000e+07,9.882189999999999586e-01,1.151509999999999962e+02
1.870000000000000000e+07,9.859839999999999716e-01,1.147639999999999958e+02
1.885000000000000000e+07,9.870719999999999494e-01,1.143119999999999976e+02
1.900000000000000000e+07,9.864920000000000355e-01,1.139260000000000019e+02
1.915000000000000000e+07,9.864779999999999660e-01,1.135190000000000055e+02
1.930000000000000000e+07,9.861630000000000118e-01,1.131149999999999949e+02
1.945000000000000000e+07,9.861739999999999950e-01,1.127009999999999934e+02
1.960000000000000000e+07,9.865960000000000285e-01,1.123110000000000070e+02
1.975000000000000000e+07,9.848409999999999664e-01,1.118880000000000052e+02
1.990000000000000000e+07,9.857930000000000303e-01,1.114419999999999931e+02
2.005000000000000000e+07,9.852999999999999536e-01,1.110109999999999957e+02
2.020000000000000000e+07,9.849560000000000537e-01,1.106410000000000053e+02
2.035000000000000000e+07,9.848860000000000392e-01,1.102139999999999986e+02
2.050000000000000000e+07,9.838259999999999783e-01,1.098110000000000070e+02
2.065000000000000000e+07,9.848090000000000455e-01,1.094300000000000068e+02
2.080000000000000000e+07,9.837749999999999551e-01,1.090040000000000049e+02
2.095000000000000000e+07,9.830849999999999866e-01,1.085780000000000030e+02
2.110000000000000000e+07,9.837219999999999853e-01,1.081770000000000067e+02
2.125000000000000000e+07,9.834770000000000456e-01,1.077960000000000065e+02
2.140000000000000000e+07,9.836930000000000396e-01,1.073509999999999991e+02
2.155000000000000000e+07,9.821969999999999867e-01,1.069899999999999949e+02
2.170000000000000000e+07,9.833110000000000461e-01,1.066299999999999955e+02
2.185000000000000000e+07,9.826449999999999907e-01,1.062139999999999986e+02
2.200000000000000000e+07,9.828789999999999472e-01,1.059129999999999967e+02
2.215000000000000000e+07,9.828719999999999679e-01,1.053739999999999952e+02
2.230000000000000000e+07,9.826409999999999867e-01,1.049980000000000047e+02
2.245000000000000000e+07,9.828919999999999879e-01,1.046490000000000009e+02
2.260000000000000000e+07,9.836629999999999541e-01,1.042150000000000034e+02
2.275000000000000000e+07,9.822870000000000212e-01,1.038990000000000009e+02
2.290000000000000000e+07,9.821060000000000345e-01,1.034989999999999952e+02
2.305000000000000000e+07,9.827569999999999917e-01,1.030949999999999989e+02
2.320000000000000000e+07,9.830659999999999954e-01,1.027980000000000018e+02
2.335000000000000000e+07,9.820640000000000480e-01,1.023930000000000007e+02
2.350000000000000000e+07,9.835409999999999986e-01,1.019920000000000044e+02
2.365000000000000000e+07,9.832290000000000196e-01,1.017249999999999943e+02
2.380000000000000000e+07,9.813220000000000276e-01,1.013209999999999980e+02
2.395000000000000000e+07,9.828209999999999447e-01,1.009759999999999991e+02
2.410000000000000000e+07,9.814180000000000126e-01,1.005589999999999975e+02
2.425000000000000000e+07,9.809930000000000039e-01,1.002240000000000038e+02
2.440000000000000000e+07,9.820400000000000240e-01,9.979879999999999995e+01
2.455000000000000000e+07,9.806960000000000122e-01,9.967239999999999611e+01
2.470000000000000000e+07,9.817010000000000458e-01,9.917210000000000036e+01
2.485000000000000000e+07,9.791779999999999928e-01,9.880580000000000496e+01
2.500000000000000000e+07,9.793469999999999676e-01,9.852100000000000080e+01
2.515000000000000000e+07,9.796970000000000400e-01,9.809139999999999304e+01
2.530000000000000000e+07,9.802060000000000217e-01,9.781619999999999493e+01
2.545000000000000000e+07,9.808170000000000499e-01,9.742000000000000171e+01
2.560000000000000000e+07,9.794880000000000253e-01,9.711220000000000141e+01
2.575000000000000000e+07,9.788090000000000401e-01,9.681159999999999854e+01
2.590000000000000000e+07,9.779919999999999725e-01,9.652549999999999386e+01
2.605000000000000000e+07,9.788869999999999516e-01,9.606109999999999616e+01
2.620000000000000000e+07,9.784110000000000307e-01,9.583450000000000557e+01
2.635000000000000000e+07,9.773239999999999705e-01,9.548529999999999518e+01
2.650000000000000000e+07,9.780170000000000252e-01,9.504760000000000275e+01
2.665000000000000000e+07,9.769440000000000346e-01,9.468269999999999698e+01
2.680000000000000000e+07,9.762330000000000174e-01,9.444490000000000407e+01
2.695000000000000000e+07,9.749929999999999986e-01,9.404919999999999902e+01
2.710000000000000000e+07,9.769860000000000211e-01,9.385999999999999943e+01
2.725000000000000000e+07,9.756650000000000045e-01,9.351990000000000691e+01
2.740000000000000000e+07,9.752910000000000190e-01,9.314350000000000307e+01
2.755000000000000000e+07,9.753690000000000415e-01,9.282139999999999702e+01
2.770000000000000000e+07,9.763889999999999514e-01,9.246020000000000039e+01
2.785000000000000000e+07,9.768270000000000008e-01,9.209929999999999950e+01
2.800000000000000000e+07,9.760490000000000554e-01,9.181770000000000209e+01
2.815000000000000000e+07,9.749079999999999968e-01,9.159239999999999782e+01
2.830000000000000000e+07,9.751849999999999685e-01,9.127630000000000621e+01
2.845000000000000000e+07,9.762079999999999647e-01,9.097069999999999368e+01
2.860000000000000000e+07,9.737339999999999884e-01,9.060020000000000095e+01
2.875000000000000000e+07,9.757190000000000030e-01,9.040219999999999345e+01
2.890000000000000000e+07,9.749400000000000288e-01,9.000900000000000034e+01
2.905000000000000000e+07,9.746350000000000291e-01,8.976130000000000564e+01
2.920000000000000000e+07,9.742960000000000509e-01,8.940000000000000568e+01
2.935000000000000000e+07,9.733009999999999717e-01,8.908490000000000464e+01
2.950000000000000000e+07,9.738229999999999942e-01,8.884130000000000393e+01
2.965000000000000000e+07,9.743070000000000341e-01,8.860389999999999588e+01
2.980000000000000000e+07,9.752499999999999503e-01,8.827079999999999416e+01
2.995000000000000000e+07,9.734800000000000120e-01,8.794389999999999930e+01
3.010000000000000000e+07,9.731130000000000058e-01,8.765529999999999688e+01
3.025000000000000000e+07,9.741400000000000059e-01,8.744450000000000500e+01
3.040000000000000000e+07,9.730290000000000328e-01,8.717090000000000316e+01
3.055000000000000000e+07,9.735329999999999817e-01,8.679590000000000316e+01
3.070000000000000000e+07,9.724880000000000191e-01,8.655410000000000537e+01
3.085000000000000000e+07,9.731060000000000265e-01,8.634619999999999607e+01
3.100000000000000000e+07,9.715989999999999904e-01,8.599970000000000425e+01
3.115000000000000000e+07,9.718999999999999861e-01,8.566930000000000689e+01
3.130000000000000000e+07,9.732460000000000555e-01,8.543129999999999313e+01
3.145000000000000000e+07,9.723819999999999686e-01,8.514319999999999311e+01
3.160000000000000000e+07,9.726249999999999618e-01,8.481080000000000041e+01
3.175000000000000000e+07,9.708539999999999948e-01,8.461199999999999477e+01
3.190000000000000000e+07,9.710769999999999680e-01,8.424720000000000653e+01
3.205000000000000000e+07,9.732150000000000523e-01,8.404300000000000637e+01
3.220000000000000000e+07,9.702450000000000241e-01,8.376690000000000680e+01
3.235000000000000000e+07,9.716190000000000104e-01,8.347270000000000323e+01
3.250000000000000000e+07,9.712389999999999635e-01,8.315560000000000684e+01
3.265000000000000000e+07,9.714380000000000237e-01,8.296169999999999334e+01
3.280000000000000000e+07,9.716430000000000344e-01,8.268259999999999366e+01
3.295000000000000000e+07,9.717270000000000074e-01,8.242929999999999779e+01
3.310000000000000000e+07,9.708430000000000115e-01,8.212869999999999493e+01
3.325000000000000000e+07,9.707050000000000400e-01,8.187030000000000030e+01
3.340000000000000000e+07,9.702269999999999506e-01,8.164069999999999538e+01
3.355000000000000000e+07,9.723779999999999646e-01,8.123569999999999425e+01
